game_file,shape,count_human,count_model,both,human_not_model,model_not_human,true_positive,false_positive,false_negative,shape_matrix,shape_coordinates,canonical_index,canonical_encoding,shape_class
20120522_152748.txt,240 144 912,1.0,0.0,False,True,False,False,False,True,"[[0, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 0, 0, 0]]","[(2, 0), (3, 0), (4, 0), (5, 0), (2, 1), (5, 1), (0, 2), (1, 2), (2, 2), (5, 2)]",-1,128 128 896 512 512 896,49
20120522_152748.txt,256 256 256 256 256 256 256 896,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]]","[(1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (0, 7), (1, 7), (2, 7)]",-1,256 256 256 256 256 256 256 896,219
20120522_152748.txt,256 384 960 384 256,0.0,1.0,False,False,True,False,True,False,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","[(1, 0), (1, 1), (2, 1), (0, 2), (1, 2), (2, 2), (3, 2), (1, 3), (2, 3), (1, 4)]",-1,128 384 960 384 128,10
20120522_152748.txt,256 896 192 896 256,0.0,1.0,False,False,True,False,True,False,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","[(1, 0), (0, 1), (1, 1), (2, 1), (2, 2), (3, 2), (0, 3), (1, 3), (2, 3), (1, 4)]","[(1, 0), (0, 1), (1, 1), (2, 1), (2, 2), (3, 2), (0, 3), (1, 3), (2, 3), (1, 4)]",128 448 768 448 128,29
20120522_152748.txt,256 896 256 256 256 896,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]]","[(1, 0), (0, 1), (1, 1), (2, 1), (1, 2), (1, 3), (1, 4), (0, 5), (1, 5), (2, 5)]",-1,256 896 256 256 256 896,153
20120522_152748.txt,256 896 256 256 896 256,0.0,1.0,False,False,True,False,True,False,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","[(1, 0), (0, 1), (1, 1), (2, 1), (1, 2), (1, 3), (0, 4), (1, 4), (2, 4), (1, 5)]",-1,256 896 256 256 896 256,231
20120522_152748.txt,32 1022,1.0,0.0,False,True,False,False,False,True,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]]","[(4, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]","[(4, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]",1022 32,110
20120522_152748.txt,320 320 320 960,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]","[(1, 0), (3, 0), (1, 1), (3, 1), (1, 2), (3, 2), (0, 3), (1, 3), (2, 3), (3, 3)]","[(1, 0), (3, 0), (1, 1), (3, 1), (1, 2), (3, 2), (0, 3), (1, 3), (2, 3), (3, 3)]",320 320 320 960,45
20120522_152748.txt,320 448 992,0.0,1.0,False,False,True,False,True,False,"[[0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]]","[(1, 0), (3, 0), (1, 1), (2, 1), (3, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]","[(1, 0), (3, 0), (1, 1), (2, 1), (3, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]",128 896 384 896 128,14
20120522_152748.txt,320 992 128 128 128,1.0,0.0,False,True,False,False,False,True,"[[0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]","[(1, 0), (3, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (2, 2), (2, 3), (2, 4)]","[(1, 0), (3, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (2, 2), (2, 3), (2, 4)]",128 128 128 992 320,21
